Rank,Country name,Ladder score,upperwhisker,lowerwhisker,Dystopia + residual,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Ladder score in Dystopia
97,Morocco,5.094799995,5.203875065,4.985724926,2.378402472,0.7586221099,0.645208478,0.7450969219,0.4500541389,0.04003255069,0.07738560438,1.972316742
98,Cameroon,5.084899902,5.216800213,4.952999592,2.719370842,0.5039580464,0.8997264504,0.2701895535,0.4392424822,0.1980201006,0.05439342186,1.972316742
99,Venezuela,5.053199768,5.179189682,4.927209854,1.74484086,0.7702386379,1.348546863,0.7670255303,0.2717172205,0.08717915416,0.0636247769,1.972316742
100,Algeria,5.005099773,5.09180212,4.918397427,1.840811729,0.9438560009,1.143003583,0.7454185486,0.08394379914,0.118915014,0.1291906536,1.972316742
101,Senegal,4.980800152,5.084227562,4.877372742,2.405123949,0.5040618181,0.95459342,0.5183919072,0.3524008989,0.1643971354,0.08186593652,1.972316742
102,Guinea,4.949299812,5.09246254,4.806137085,2.740729809,0.3900077343,0.7513659596,0.3336552382,0.3718780577,0.2494908422,0.1122045591,1.972316742
103,Niger,4.909599781,5.060927868,4.758271694,3.017630577,0.1083303317,0.7038001418,0.2988163531,0.4353116155,0.208176896,0.1375547647,1.972316742
104,Laos,4.888599873,4.967526436,4.809673309,1.621152639,0.7146938443,0.9873918891,0.4863782823,0.6120272875,0.27266711,0.1942739636,1.972316742
105,Albania,4.882699966,4.992686749,4.772713184,1.640897036,0.9066530466,0.8304839134,0.8463296294,0.4619458914,0.1710277647,0.02536128461,1.972316742
106,Cambodia,4.848400116,4.962093353,4.734706879,1.663300037,0.5446349382,1.071426034,0.5879043341,0.6749403477,0.2333420813,0.07283750176,1.972316742
107,Bangladesh,4.832799911,4.911443233,4.75415659,1.755261898,0.5561562777,0.8688005805,0.6949405074,0.6041305661,0.1767451167,0.1767359078,1.972316742
108,Gabon,4.829299927,4.947425842,4.711174011,1.735027552,0.9880443811,1.10639751,0.522574842,0.3694598973,0.05201360211,0.05580453947,1.972316742
109,South Africa,4.814099789,4.931746006,4.696453571,1.625117302,0.9021404386,1.259086251,0.4070340693,0.4347818196,0.1264068484,0.05950213969,1.972316742
