,Country,Happiness score,Whisker-high,Whisker-low,Dystopia (2.33) + residual,Explained by: GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia
96,Vietnam,5.061,5.131,4.991,1.941796303,0.7403743267,0.7911670804,0.6615650654,0.5595411658,0.2507525682,0.1155620739,2.33
97,Somaliland region,5.057,5.180,4.934,2.438010931,0.255577445,0.7586234808,0.3310761154,0.3912950158,0.5147906542,0.3679408431,2.33
98,Tunisia,5.045,5.125,4.965,2.684131384,0.9772385955,0.4316480458,0.5957660079,0.2355278879,0.0393615216,0.08169849217,2.33
99,Greece,5.033,5.131,4.935,2.129441738,1.248862028,0.7547316551,0.8002893329,0.05822119489,0,0.04127246886,2.33
100,Tajikistan,4.996,5.069,4.923,2.391058683,0.4883491993,0.7560246587,0.5311854482,0.434081018,0.2599796951,0.1350889355,2.33
101,Mongolia,4.907,4.976,4.838,1.535856962,0.9885272384,1.089830875,0.554693222,0.3597187698,0.3453855515,0.03285017237,2.33
102,Laos,4.876,5.010,4.742,2.086368084,0.6804234385,0.549695015,0.3829056323,0.5216754079,0.4307881296,0.2242290527,2.33
103,Nigeria,4.875,5.000,4.750,2.885864258,0.7521632314,0.6449794173,0.0510790199,0.2785388231,0.2321866155,0.0305018276,2.33
104,Honduras,4.871,4.992,4.750,2.295514584,0.6942926049,0.7559584379,0.5838286281,0.267550528,0.2044030428,0.06906199455,2.33
105,Iran,4.813,4.923,4.703,1.998172283,1.11757791,0.3885716796,0.6423233747,0.2254371494,0.3853824735,0.05569642782,2.33
106,Zambia,4.795,4.945,4.645,2.589914799,0.6120217443,0.637601912,0.235732168,0.4266164601,0.1786570698,0.1147906184,2.33
107,Nepal,4.793,4.888,4.698,2.326944351,0.4462570548,0.6969850063,0.5007292032,0.3701159954,0.3815962374,0.07008140534,2.33
108,Palestinian Territories,4.754,4.859,4.649,2.403640032,0.670235455,0.7162941694,0.5684379935,0.1774387658,0.1115362793,0.1061338559,2.33
109,Albania,4.655,4.764,4.546,1.92815876,0.9553028941,0.5016273856,0.7300697565,0.3186602592,0.1683950126,0.05300973728,2.33
110,Bangladesh,4.643,4.726,4.560,2.609042645,0.5417668819,0.2474909127,0.5298885107,0.397775203,0.191324383,0.1258336604,2.33
111,Sierra Leone,4.635,4.765,4.505,3.014021397,0.364854157,0.6280034184,0,0.3068512082,0.2389721274,0.08196226507,2.33
112,Iraq,4.575,4.704,4.446,1.816570044,1.07474339,0.5920470357,0.5107596517,0.2485591471,0.1958882064,0.1363555491,2.33
113,Namibia,4.574,4.774,4.374,1.921983719,0.9328721166,0.703617692,0.3474542797,0.4861379266,0.07794962823,0.1039759517,2.33
114,Cameroon,4.513,4.609,4.417,2.519798756,0.5249726772,0.6254190803,0.1269759238,0.4273615181,0.2267952859,0.06126348674,2.33
115,Ethiopia,4.508,4.591,4.425,2.65613699,0.2928332686,0.37931633,0.3457763195,0.3670291305,0.2952185571,0.1716993749,2.33
116,South Africa,4.459,4.547,4.371,1.642268658,1.024164915,0.9605335593,0.1861099601,0.4248252511,0.1365633756,0.08415438235,2.33
117,Sri Lanka,4.415,4.508,4.322,0.9168071747,0.9731776118,0.8478294611,0.6200683117,0.5081717968,0.4697829187,0.07963804901,2.33
118,India,4.404,4.457,4.351,2.180320024,0.7403585315,0.2924744487,0.4509114325,0.4028455615,0.2502847314,0.08722177893,2.33
119,Myanmar,4.395,4.463,4.327,1.506554604,0.3411233127,0.6998114586,0.3987995386,0.4269192219,0.8197111487,0.2024345249,2.33
120,Egypt,4.362,4.465,4.259,1.968951225,0.9539512992,0.4981312156,0.5211619139,0.1884650439,0.1270608902,0.1039294451,2.33
121,Armenia,4.360,4.454,4.266,1.978635788,0.8608591557,0.6247681975,0.6408339143,0.1403724104,0.07792857289,0.03615716845,2.33
122,Kenya,4.356,4.453,4.259,1.883261204,0.5226711631,0.7623973489,0.3014716506,0.405755043,0.4132779241,0.06685906649,2.33
123,Ukraine,4.324,4.412,4.236,1.500658751,0.8728690147,1.014131546,0.586279273,0.1285888702,0.2036271244,0.01829305105,2.33
124,Ghana,4.276,4.367,4.185,2.200197935,0.6310686469,0.493525058,0.2968133986,0.4097322226,0.2120326459,0.03260290623,2.33
125,Congo (Kinshasa),4.272,4.353,4.191,2.749241352,0.05660601333,0.8067646623,0.1880039275,0.1560170501,0.2545780838,0.06074899808,2.33
126,Georgia,4.252,4.340,4.164,1.870311737,0.8379245996,0.1924944371,0.6403460503,0.3246101141,0.06785888225,0.31879583,2.33
127,Congo (Brazzaville),4.236,4.365,4.107,2.106806755,0.7710928917,0.477987349,0.2821151912,0.3793767393,0.1207708791,0.09752926975,2.33
128,Senegal,4.219,4.287,4.151,1.978607416,0.4431370199,0.7741596699,0.404569447,0.3105579317,0.1910338402,0.1168092117,2.33
129,Bulgaria,4.217,4.330,4.104,1.153767347,1.113064647,0.9254174232,0.6780562401,0.2121911049,0.1279297024,0.006153809838,2.33
130,Mauritania,4.201,4.275,4.127,1.92630291,0.6139080524,0.8414196968,0.2863945961,0.126799494,0.2268636078,0.1795488149,2.33
131,Zimbabwe,4.193,4.285,4.101,2.442697525,0.3504098356,0.714784801,0.1595008969,0.2542897463,0.1850303113,0.08581658453,2.33
132,Malawi,4.156,4.271,4.041,2.828585148,0.08709395677,0.1470022053,0.2936448753,0.4143017232,0.3096785843,0.0756367594,2.33
133,Sudan,4.139,4.350,3.928,2.109946728,0.6306907535,0.8192826509,0.2975911498,0,0.1807745397,0.1003870592,2.33
134,Gabon,4.121,4.212,4.030,1.453323841,1.158508897,0.7236786485,0.3494042456,0.280975461,0.06243705377,0.09314181656,2.33
135,Mali,4.073,4.158,3.988,2.110868931,0.3129241765,0.8633272648,0.1634719521,0.2754392624,0.2106413245,0.1364662796,2.33
136,Haiti,4.028,4.163,3.893,2.371160507,0.3409727216,0.2956138253,0.2749408185,0.1207239479,0.4795780778,0.1447578669,2.33
137,Botswana,3.974,4.073,3.875,0.9674060345,1.094257355,0.8918649554,0.347515285,0.4408920407,0.1242517233,0.10769476,2.33
138,Comoros,3.956,4.052,3.860,2.256321669,0.2750940025,0.6032307148,0.2998083532,0.1541177928,0.1827025265,0.184365198,2.33
139,Ivory Coast,3.916,4.006,3.826,1.974778414,0.5550658703,0.5757588148,0.04475906864,0.4066289961,0.2033821046,0.1552985609,2.33
140,Cambodia,3.907,4.016,3.798,1.31573081,0.5560393333,0.5374981761,0.424944222,0.588519156,0.4033884108,0.08092289418,2.33
141,Angola,3.866,3.979,3.753,2.094593525,0.8473098278,0.6636593938,0.04991268367,0.005886350758,0.1207074374,0.08433874696,2.33
142,Niger,3.856,3.931,3.781,2.094687462,0.1327024996,0.6052974463,0.261615485,0.3804078996,0.2097005248,0.1717639118,2.33
143,South Sudan,3.832,4.068,3.596,2.509290695,0.3939363658,0.1851870269,0.1578136235,0.1966249794,0.258987993,0.1301515698,2.33
